member_casual,day_of_week,trip_count,trip_percentage,avg_ride_length
casual,Saturday,1145870,21.46,29.85
casual,Sunday,959901,17.98,31.41
member,Wednesday,1263259,15.89,11.95
member,Tuesday,1248265,15.7,11.92
member,Thursday,1242054,15.62,11.97
casual,Friday,766730,14.36,25.58
member,Friday,1126372,14.17,12.34
member,Monday,1108387,13.94,12.08
member,Saturday,1046022,13.16,14.13
casual,Thursday,653170,12.24,23.24
member,Sunday,916863,11.53,14.22
casual,Monday,615128,11.52,27.08
casual,Wednesday,604816,11.33,23.1
casual,Tuesday,592894,11.11,23.83
