member_casual,hour_of_day,trip_count,trip_percentage,avg_ride_length
member,17,304381,10.9,13.22
casual,17,155743,9.67,22.17
member,16,265970,9.53,12.81
casual,16,146516,9.1,23.24
member,18,228012,8.17,12.9
casual,15,129288,8.03,25.16
casual,18,129126,8.02,22.14
casual,14,118113,7.34,26.79
member,8,203209,7.28,11.07
casual,13,113254,7.03,27.54
casual,12,109624,6.81,27.48
member,15,189153,6.78,12.64
member,7,164676,5.9,11.08
casual,11,94310,5.86,28.84
casual,19,92490,5.74,21.92
member,19,157634,5.65,12.82
member,12,152200,5.45,12.11
member,14,152118,5.45,12.59
member,13,151017,5.41,12.17
member,11,134133,4.8,12.34
member,9,133064,4.77,11.25
casual,10,73690,4.58,28.83
member,10,115737,4.15,12.21
casual,20,66180,4.11,21.57
member,20,107732,3.86,12.64
casual,9,58581,3.64,24.25
casual,8,57875,3.59,17.11
casual,21,53697,3.34,20.31
member,6,83704,3.0,10.47
casual,22,47008,2.92,20.52
member,21,80771,2.89,12.45
casual,7,41404,2.57,15.76
casual,23,32951,2.05,20.79
member,22,56689,2.03,12.63
casual,0,24572,1.53,21.16
casual,6,21672,1.35,15.16
member,23,34475,1.23,12.59
casual,1,16176,1.0,20.89
member,5,27180,0.97,10.72
member,0,20626,0.74,11.98
casual,2,9620,0.6,20.82
casual,5,8698,0.54,14.92
member,1,12244,0.44,12.32
casual,3,5184,0.32,21.84
casual,4,4186,0.26,19.37
member,2,6627,0.24,12.22
member,4,5771,0.21,12.14
member,3,4626,0.17,11.53
