member_casual,start_station_name,trip_count,rn
casual,Streeter Dr & Grand Ave,162882,1
casual,Millennium Park,75018,2
casual,DuSable Lake Shore Dr & Monroe St,74649,3
casual,Michigan Ave & Oak St,73524,4
casual,Shedd Aquarium,58919,5
casual,DuSable Lake Shore Dr & North Blvd,55236,6
casual,Theater on the Lake,53013,7
casual,Wells St & Concord Ln,44543,8
casual,Dusable Harbor,42517,9
casual,Indiana Ave & Roosevelt Rd,39463,10
member,Kingsbury St & Kinzie St,70407,1
member,Clark St & Elm St,67560,2
member,Wells St & Concord Ln,61656,3
member,Clinton St & Washington Blvd,57901,4
member,Wells St & Elm St,56253,5
member,Clinton St & Madison St,53547,6
member,Broadway & Barry Ave,49928,7
member,Loomis St & Lexington St,49713,8
member,Dearborn St & Erie St,49524,9
member,Wells St & Huron St,48797,10
